Magnetic_Field_Strength,Gradient_Strength,RF_Power,Pulse_Sequence,Scan_Duration,Time,label,parameter
1,10,190,1,19,2,Not malfunction,parameters are working correctly
3,19,153,5,18,5,Not malfunction,parameters are working correctly
2,15,169,1,38,3,Not malfunction,parameters are working correctly
2,16,244,1,58,7,Malfunction,RF_Power
1,15,149,7,59,8,Malfunction,Pulse_Sequence
3,11,185,4,45,5,Not malfunction,parameters are working correctly
2,15,55,4,75,10,Malfunction,Scan_Duration
1,17,94,4,48,4,Not malfunction,parameters are working correctly
1,27,238,1,30,10,Malfunction,RF_Power
1,12,102,2,54,2,Not malfunction,parameters are working correctly
1,24,68,8,34,6,Malfunction,Pulse_Sequence
1,15,92,3,85,8,Malfunction,Scan_Duration
2,21,61,3,49,4,Not malfunction,parameters are working correctly
6,25,141,2,25,7,Malfunction,Magnetic_Field_Strength
2,29,125,5,59,4,Not malfunction,parameters are working correctly
2,28,136,7,48,8,Malfunction,Pulse_Sequence
2,18,139,2,88,8,Malfunction,Scan_Duration
3,19,79,4,26,5,Not malfunction,parameters are working correctly
2,15,225,3,45,10,Malfunction,RF_Power
2,16,170,3,47,1,Not malfunction,parameters are working correctly
2,16,53,4,58,2,Not malfunction,parameters are working correctly
1,24,145,2,37,1,Not malfunction,parameters are working correctly
2,26,148,2,19,5,Not malfunction,parameters are working correctly
1,30,248,4,37,10,Malfunction,RF_Power
1,15,126,2,21,1,Not malfunction,parameters are working correctly
2,20,222,3,36,6,Malfunction,RF_Power
2,20,171,5,23,4,Not malfunction,parameters are working correctly
2,15,241,3,22,6,Malfunction,RF_Power
1,27,198,4,19,5,Not malfunction,parameters are working correctly
2,16,164,2,60,5,Not malfunction,parameters are working correctly
4,31,34,3,25,8,Malfunction,Magnetic_Field_Strength
3,28,84,1,55,1,Not malfunction,parameters are working correctly
1,25,131,1,26,1,Not malfunction,parameters are working correctly
1,21,109,5,17,4,Not malfunction,parameters are working correctly
3,17,77,5,24,2,Not malfunction,parameters are working correctly
2,13,194,2,83,8,Malfunction,Scan_Duration
2,18,58,2,30,3,Not malfunction,parameters are working correctly
3,14,50,1,30,1,Not malfunction,parameters are working correctly
1,28,115,3,77,8,Malfunction,Scan_Duration
2,40,63,2,20,7,Malfunction,Gradient_Strength
3,18,148,2,57,1,Not malfunction,parameters are working correctly
2,15,108,5,41,1,Not malfunction,parameters are working correctly
2,10,212,2,39,9,Malfunction,RF_Power
2,17,126,8,38,9,Malfunction,Pulse_Sequence
1,19,85,2,81,8,Malfunction,Scan_Duration
4,28,161,3,42,10,Malfunction,Magnetic_Field_Strength
3,19,120,5,29,4,Not malfunction,parameters are working correctly
3,22,103,2,33,5,Not malfunction,parameters are working correctly
3,18,153,4,56,3,Not malfunction,parameters are working correctly
3,17,154,3,34,1,Not malfunction,parameters are working correctly
1,22,200,4,55,3,Not malfunction,parameters are working correctly
1,14,136,6,33,8,Malfunction,Pulse_Sequence
1,10,200,1,36,5,Not malfunction,parameters are working correctly
1,38,122,2,49,9,Malfunction,Gradient_Strength
5,19,110,6,31,10,Malfunction,Magnetic_Field_Strength
5,13,104,2,26,8,Malfunction,Magnetic_Field_Strength
2,12,81,5,39,2,Not malfunction,parameters are working correctly
2,26,212,3,27,9,Malfunction,RF_Power
5,32,181,0,31,8,Malfunction,Magnetic_Field_Strength
2,20,170,4,51,3,Not malfunction,parameters are working correctly
2,18,116,3,71,9,Malfunction,Scan_Duration
3,14,69,5,57,3,Not malfunction,parameters are working correctly
6,14,160,2,30,10,Malfunction,Magnetic_Field_Strength
3,26,87,3,43,3,Not malfunction,parameters are working correctly
1,20,71,2,73,9,Malfunction,Scan_Duration
2,27,78,5,24,4,Not malfunction,parameters are working correctly
2,19,82,7,34,7,Malfunction,Pulse_Sequence
1,22,106,8,36,7,Malfunction,Pulse_Sequence
4,22,116,1,39,8,Malfunction,Magnetic_Field_Strength
1,12,155,3,27,4,Not malfunction,parameters are working correctly
2,20,229,0,48,6,Malfunction,RF_Power
3,30,92,4,34,1,Not malfunction,parameters are working correctly
4,23,122,3,52,7,Malfunction,Magnetic_Field_Strength
1,26,50,5,57,3,Not malfunction,parameters are working correctly
3,29,90,4,49,2,Not malfunction,parameters are working correctly
6,16,123,3,41,9,Malfunction,Magnetic_Field_Strength
3,25,193,5,24,5,Not malfunction,parameters are working correctly
1,13,73,1,33,1,Not malfunction,parameters are working correctly
2,22,112,1,52,4,Not malfunction,parameters are working correctly
1,15,223,2,34,7,Malfunction,RF_Power
1,26,193,1,53,2,Not malfunction,parameters are working correctly
3,14,110,1,33,4,Not malfunction,parameters are working correctly
1,18,143,2,76,10,Malfunction,Scan_Duration
2,14,181,3,45,3,Not malfunction,parameters are working correctly
2,18,78,4,58,4,Not malfunction,parameters are working correctly
2,36,139,1,34,9,Malfunction,Gradient_Strength
3,24,149,3,41,1,Not malfunction,parameters are working correctly
4,24,159,2,34,7,Malfunction,Magnetic_Field_Strength
3,16,64,4,53,3,Not malfunction,parameters are working correctly
3,15,175,4,20,3,Not malfunction,parameters are working correctly
2,38,103,2,43,10,Malfunction,Gradient_Strength
4,20,238,3,41,8,Malfunction,Magnetic_Field_Strength
2,37,86,1,28,9,Malfunction,Gradient_Strength
1,28,98,4,24,3,Not malfunction,parameters are working correctly
2,30,109,5,36,3,Not malfunction,parameters are working correctly
0,11,93,4,72,7,Malfunction,Scan_Duration
5,31,117,0,51,9,Malfunction,Magnetic_Field_Strength
2,22,161,5,57,3,Not malfunction,parameters are working correctly
1,15,129,2,43,2,Not malfunction,parameters are working correctly
3,26,50,3,15,5,Not malfunction,parameters are working correctly
2,25,60,5,39,5,Not malfunction,parameters are working correctly
2,20,224,4,38,6,Malfunction,RF_Power
1,19,223,2,31,9,Malfunction,RF_Power
3,17,125,7,29,6,Malfunction,Pulse_Sequence
2,14,138,1,44,1,Not malfunction,parameters are working correctly
2,39,96,2,42,8,Malfunction,Gradient_Strength
1,25,96,3,45,2,Not malfunction,parameters are working correctly
2,21,183,3,25,2,Not malfunction,parameters are working correctly
3,30,198,5,60,4,Not malfunction,parameters are working correctly
2,31,219,2,45,6,Malfunction,RF_Power
2,19,151,6,48,9,Malfunction,Pulse_Sequence
3,14,101,1,36,5,Not malfunction,parameters are working correctly
3,27,69,1,47,4,Not malfunction,parameters are working correctly
2,39,78,2,49,6,Malfunction,Gradient_Strength
1,14,143,3,85,10,Malfunction,Scan_Duration
1,30,89,3,34,5,Not malfunction,parameters are working correctly
6,24,121,3,40,9,Malfunction,Magnetic_Field_Strength
1,14,109,8,28,9,Malfunction,Pulse_Sequence
1,13,161,5,58,4,Not malfunction,parameters are working correctly
1,9,156,4,73,6,Malfunction,Scan_Duration
3,14,51,1,27,2,Not malfunction,parameters are working correctly
3,16,189,2,45,3,Not malfunction,parameters are working correctly
2,15,166,1,81,6,Malfunction,Scan_Duration
2,22,224,2,47,6,Malfunction,RF_Power
5,17,80,3,48,7,Malfunction,Magnetic_Field_Strength
2,25,164,4,71,8,Malfunction,Scan_Duration
3,17,66,1,16,4,Not malfunction,parameters are working correctly
2,39,109,3,41,8,Malfunction,Gradient_Strength
2,15,74,8,32,6,Malfunction,Pulse_Sequence
1,13,112,1,56,3,Not malfunction,parameters are working correctly
5,24,179,3,34,9,Malfunction,Magnetic_Field_Strength
2,24,172,2,25,4,Not malfunction,parameters are working correctly
2,30,155,3,37,1,Not malfunction,parameters are working correctly
2,27,75,1,54,5,Not malfunction,parameters are working correctly
2,39,94,0,36,6,Malfunction,Gradient_Strength
1,15,172,7,23,9,Malfunction,Pulse_Sequence
2,23,53,2,18,3,Not malfunction,parameters are working correctly
2,18,148,6,46,9,Malfunction,Pulse_Sequence
2,22,98,8,31,9,Malfunction,Pulse_Sequence
2,23,109,4,50,2,Not malfunction,parameters are working correctly
2,24,242,3,34,7,Malfunction,RF_Power
2,20,110,4,89,8,Malfunction,Scan_Duration
1,24,95,2,74,8,Malfunction,Scan_Duration
2,29,81,2,18,4,Not malfunction,parameters are working correctly
1,12,56,3,17,3,Not malfunction,parameters are working correctly
1,19,151,3,86,6,Malfunction,Scan_Duration
2,11,181,1,32,4,Not malfunction,parameters are working correctly
1,40,104,4,34,6,Malfunction,Gradient_Strength
5,23,106,2,51,10,Malfunction,Magnetic_Field_Strength
1,25,146,1,53,2,Not malfunction,parameters are working correctly
2,12,113,2,59,4,Not malfunction,parameters are working correctly
2,40,99,1,41,6,Malfunction,Gradient_Strength
2,20,114,8,34,7,Malfunction,Pulse_Sequence
5,17,168,2,29,9,Malfunction,Magnetic_Field_Strength
3,28,200,2,42,2,Not malfunction,parameters are working correctly
1,24,123,7,40,10,Malfunction,Pulse_Sequence
1,22,158,4,57,5,Not malfunction,parameters are working correctly
3,27,114,5,28,1,Not malfunction,parameters are working correctly
3,19,175,1,49,1,Not malfunction,parameters are working correctly
1,12,121,2,21,2,Not malfunction,parameters are working correctly
0,40,71,2,43,6,Malfunction,Gradient_Strength
3,20,170,1,60,2,Not malfunction,parameters are working correctly
2,7,179,8,37,7,Malfunction,Pulse_Sequence
6,22,192,3,25,9,Malfunction,Magnetic_Field_Strength
3,14,135,1,53,3,Not malfunction,parameters are working correctly
1,20,246,2,46,10,Malfunction,RF_Power
3,19,216,1,38,10,Malfunction,RF_Power
3,21,94,2,41,2,Not malfunction,parameters are working correctly
4,22,164,3,43,10,Malfunction,Magnetic_Field_Strength
4,29,149,2,22,10,Malfunction,Magnetic_Field_Strength
2,14,227,3,29,9,Malfunction,RF_Power
5,19,32,1,27,7,Malfunction,Magnetic_Field_Strength
5,14,84,1,28,7,Malfunction,Magnetic_Field_Strength
3,13,181,3,31,4,Not malfunction,parameters are working correctly
3,30,68,1,16,4,Not malfunction,parameters are working correctly
1,10,170,2,59,5,Not malfunction,parameters are working correctly
2,23,72,5,15,5,Not malfunction,parameters are working correctly
3,16,163,4,39,5,Not malfunction,parameters are working correctly
1,21,92,1,88,6,Malfunction,Scan_Duration
1,25,132,3,35,3,Not malfunction,parameters are working correctly
6,14,63,0,50,8,Malfunction,Magnetic_Field_Strength
3,30,112,1,59,2,Not malfunction,parameters are working correctly
3,17,146,5,27,1,Not malfunction,parameters are working correctly
1,18,52,3,88,9,Malfunction,Scan_Duration
1,15,175,8,43,9,Malfunction,Pulse_Sequence
2,21,60,2,51,4,Not malfunction,parameters are working correctly
2,11,199,4,59,1,Not malfunction,parameters are working correctly
1,29,107,3,58,3,Not malfunction,parameters are working correctly
3,19,56,5,51,5,Not malfunction,parameters are working correctly
5,19,140,3,29,10,Malfunction,Magnetic_Field_Strength
4,13,143,2,19,6,Malfunction,Magnetic_Field_Strength
3,17,147,5,59,5,Not malfunction,parameters are working correctly
2,20,236,3,30,10,Malfunction,RF_Power
4,24,146,3,64,7,Malfunction,Magnetic_Field_Strength
2,10,121,1,33,2,Not malfunction,parameters are working correctly
2,22,181,2,28,1,Not malfunction,parameters are working correctly
2,21,214,3,40,10,Malfunction,RF_Power
0,37,163,3,31,10,Malfunction,Gradient_Strength
1,37,124,2,40,6,Malfunction,Gradient_Strength
2,14,86,8,40,7,Malfunction,Pulse_Sequence
5,22,101,4,28,10,Malfunction,Magnetic_Field_Strength
1,20,185,1,57,2,Not malfunction,parameters are working correctly
2,23,100,2,77,7,Malfunction,Scan_Duration
3,15,140,1,24,3,Not malfunction,parameters are working correctly
1,17,178,2,78,8,Malfunction,Scan_Duration
3,10,109,3,58,4,Not malfunction,parameters are working correctly
1,11,195,1,42,5,Not malfunction,parameters are working correctly
2,19,190,4,31,3,Not malfunction,parameters are working correctly
4,23,146,3,26,8,Malfunction,Magnetic_Field_Strength
2,24,121,8,22,9,Malfunction,Pulse_Sequence
2,22,204,5,83,10,Malfunction,Scan_Duration
1,30,121,1,30,2,Not malfunction,parameters are working correctly
3,17,191,3,37,1,Not malfunction,parameters are working correctly
3,13,155,2,20,5,Not malfunction,parameters are working correctly
1,23,85,8,33,8,Malfunction,Pulse_Sequence
3,20,143,7,59,7,Malfunction,Pulse_Sequence
2,40,112,3,52,8,Malfunction,Gradient_Strength
2,12,113,2,57,3,Not malfunction,parameters are working correctly
2,28,193,4,48,3,Not malfunction,parameters are working correctly
2,10,123,2,73,6,Malfunction,Scan_Duration
3,29,66,4,38,4,Not malfunction,parameters are working correctly
2,17,102,5,28,4,Not malfunction,parameters are working correctly
1,35,79,3,45,8,Malfunction,Gradient_Strength
2,14,67,5,52,3,Not malfunction,parameters are working correctly
3,28,173,4,53,4,Not malfunction,parameters are working correctly
2,11,241,4,32,8,Malfunction,RF_Power
1,22,242,2,22,9,Malfunction,RF_Power
1,19,70,3,88,7,Malfunction,Scan_Duration
3,20,77,1,40,2,Not malfunction,parameters are working correctly
2,19,126,7,8,10,Malfunction,Pulse_Sequence
2,9,122,6,46,7,Malfunction,Pulse_Sequence
0,37,136,1,31,6,Malfunction,Gradient_Strength
3,10,50,1,30,4,Not malfunction,parameters are working correctly
2,29,87,5,21,1,Not malfunction,parameters are working correctly
2,8,120,0,84,6,Malfunction,Scan_Duration
3,18,175,5,46,3,Not malfunction,parameters are working correctly
3,22,187,4,51,4,Not malfunction,parameters are working correctly
1,35,100,0,37,7,Malfunction,Gradient_Strength
2,36,116,3,58,8,Malfunction,Gradient_Strength
6,23,111,1,45,9,Malfunction,Magnetic_Field_Strength
1,20,100,3,16,5,Not malfunction,parameters are working correctly
1,38,140,4,39,10,Malfunction,Gradient_Strength
1,38,122,2,33,9,Malfunction,Gradient_Strength
1,35,194,2,52,6,Malfunction,Gradient_Strength
2,19,123,2,80,10,Malfunction,Scan_Duration
1,22,163,4,33,5,Not malfunction,parameters are working correctly
2,21,91,2,89,6,Malfunction,Scan_Duration
1,39,95,2,37,6,Malfunction,Gradient_Strength
2,18,195,2,27,4,Not malfunction,parameters are working correctly
3,17,132,2,37,5,Not malfunction,parameters are working correctly
2,10,181,5,52,2,Not malfunction,parameters are working correctly
1,20,73,2,20,3,Not malfunction,parameters are working correctly
1,14,198,4,30,3,Not malfunction,parameters are working correctly
1,30,100,5,59,1,Not malfunction,parameters are working correctly
4,11,67,3,41,10,Malfunction,Magnetic_Field_Strength
3,26,171,4,51,2,Not malfunction,parameters are working correctly
2,22,104,7,32,8,Malfunction,Pulse_Sequence
2,20,212,4,36,9,Malfunction,RF_Power
1,23,119,3,82,10,Malfunction,Scan_Duration
1,40,101,3,53,9,Malfunction,Gradient_Strength
1,18,210,3,15,10,Malfunction,RF_Power
1,27,91,2,46,2,Not malfunction,parameters are working correctly
2,17,105,5,36,3,Not malfunction,parameters are working correctly
1,14,169,3,87,10,Malfunction,Scan_Duration
3,24,190,1,26,4,Not malfunction,parameters are working correctly
3,23,93,1,37,3,Not malfunction,parameters are working correctly
4,22,76,3,48,6,Malfunction,Magnetic_Field_Strength
1,24,133,2,71,9,Malfunction,Scan_Duration
1,22,138,2,48,5,Not malfunction,parameters are working correctly
1,22,107,2,59,4,Not malfunction,parameters are working correctly
2,30,82,1,39,1,Not malfunction,parameters are working correctly
2,22,154,4,30,5,Not malfunction,parameters are working correctly
1,10,180,3,33,1,Not malfunction,parameters are working correctly
2,24,98,6,33,8,Malfunction,Pulse_Sequence
2,18,228,4,28,7,Malfunction,RF_Power
3,13,148,1,35,2,Not malfunction,parameters are working correctly
2,13,85,6,38,8,Malfunction,Pulse_Sequence
3,27,82,4,57,3,Not malfunction,parameters are working correctly
2,13,164,7,35,9,Malfunction,Pulse_Sequence
2,15,209,1,84,10,Malfunction,Scan_Duration
2,10,56,5,59,1,Not malfunction,parameters are working correctly
2,21,128,3,39,2,Not malfunction,parameters are working correctly
6,11,199,2,32,7,Malfunction,Magnetic_Field_Strength
5,22,156,4,28,10,Malfunction,Magnetic_Field_Strength
2,13,122,2,33,1,Not malfunction,parameters are working correctly
4,10,177,3,53,8,Malfunction,Magnetic_Field_Strength
2,38,168,2,39,9,Malfunction,Gradient_Strength
2,16,113,4,84,7,Malfunction,Scan_Duration
2,22,75,6,17,10,Malfunction,Pulse_Sequence
3,29,144,5,19,3,Not malfunction,parameters are working correctly
0,35,124,3,29,9,Malfunction,Gradient_Strength
6,22,163,1,38,10,Malfunction,Magnetic_Field_Strength
2,38,144,3,54,7,Malfunction,Gradient_Strength
6,27,151,3,40,9,Malfunction,Magnetic_Field_Strength
4,16,99,3,26,10,Malfunction,Magnetic_Field_Strength
1,11,117,2,55,5,Not malfunction,parameters are working correctly
2,36,194,1,35,6,Malfunction,Gradient_Strength
1,10,83,4,23,2,Not malfunction,parameters are working correctly
0,16,226,4,8,8,Malfunction,RF_Power
1,10,135,1,50,3,Not malfunction,parameters are working correctly
2,36,165,4,36,10,Malfunction,Gradient_Strength
1,35,162,3,21,6,Malfunction,Gradient_Strength
2,20,70,2,20,5,Not malfunction,parameters are working correctly
1,14,61,7,54,7,Malfunction,Pulse_Sequence
1,24,156,3,59,3,Not malfunction,parameters are working correctly
5,14,128,4,33,6,Malfunction,Magnetic_Field_Strength
2,17,215,4,55,8,Malfunction,RF_Power
2,29,178,6,36,7,Malfunction,Pulse_Sequence
2,26,236,2,29,9,Malfunction,RF_Power
2,26,51,1,17,3,Not malfunction,parameters are working correctly
3,25,146,3,38,1,Not malfunction,parameters are working correctly
1,29,200,4,26,2,Not malfunction,parameters are working correctly
3,28,143,2,26,1,Not malfunction,parameters are working correctly
6,25,86,2,60,10,Malfunction,Magnetic_Field_Strength
2,19,237,1,36,6,Malfunction,RF_Power
2,37,156,2,48,9,Malfunction,Gradient_Strength
3,24,126,4,57,4,Not malfunction,parameters are working correctly
5,24,136,4,48,6,Malfunction,Magnetic_Field_Strength
2,36,81,2,6,7,Malfunction,Gradient_Strength
1,30,187,5,49,5,Not malfunction,parameters are working correctly
3,24,105,4,59,3,Not malfunction,parameters are working correctly
3,10,119,1,35,3,Not malfunction,parameters are working correctly
3,22,61,5,32,5,Not malfunction,parameters are working correctly
2,38,110,3,39,8,Malfunction,Gradient_Strength
1,21,131,2,49,2,Not malfunction,parameters are working correctly
1,20,75,3,52,2,Not malfunction,parameters are working correctly
1,14,205,2,88,8,Malfunction,Scan_Duration
2,23,63,2,55,3,Not malfunction,parameters are working correctly
2,24,151,3,25,3,Not malfunction,parameters are working correctly
2,18,60,2,39,1,Not malfunction,parameters are working correctly
3,21,99,4,18,1,Not malfunction,parameters are working correctly
1,14,97,5,19,2,Not malfunction,parameters are working correctly
2,23,200,1,60,2,Not malfunction,parameters are working correctly
2,18,100,6,55,6,Malfunction,Pulse_Sequence
3,11,161,1,60,5,Not malfunction,parameters are working correctly
2,17,228,1,27,7,Malfunction,RF_Power
1,12,112,8,34,6,Malfunction,Pulse_Sequence
3,25,54,2,57,2,Not malfunction,parameters are working correctly
1,15,95,4,52,1,Not malfunction,parameters are working correctly
1,25,83,4,48,4,Not malfunction,parameters are working correctly
3,23,168,5,42,1,Not malfunction,parameters are working correctly
1,12,165,3,39,3,Not malfunction,parameters are working correctly
3,24,98,1,26,4,Not malfunction,parameters are working correctly
2,26,92,4,18,3,Not malfunction,parameters are working correctly
2,19,64,4,25,4,Not malfunction,parameters are working correctly
3,22,109,7,19,10,Malfunction,Pulse_Sequence
3,18,191,5,45,3,Not malfunction,parameters are working correctly
3,28,72,2,15,5,Not malfunction,parameters are working correctly
2,24,231,1,51,6,Malfunction,RF_Power
4,15,176,4,24,9,Malfunction,Magnetic_Field_Strength
4,23,91,2,37,9,Malfunction,Magnetic_Field_Strength
1,18,124,8,42,10,Malfunction,Pulse_Sequence
1,35,51,4,54,9,Malfunction,Gradient_Strength
2,39,51,4,22,9,Malfunction,Gradient_Strength
5,25,96,2,32,9,Malfunction,Magnetic_Field_Strength
1,20,246,2,35,9,Malfunction,RF_Power
1,24,195,5,17,2,Not malfunction,parameters are working correctly
2,37,94,2,47,6,Malfunction,Gradient_Strength
3,18,148,2,44,2,Not malfunction,parameters are working correctly
0,18,129,3,70,8,Malfunction,Scan_Duration
1,27,63,4,55,3,Not malfunction,parameters are working correctly
2,19,100,1,20,4,Not malfunction,parameters are working correctly
2,24,145,8,51,7,Malfunction,Pulse_Sequence
3,19,123,6,17,9,Malfunction,Pulse_Sequence
1,30,179,3,57,5,Not malfunction,parameters are working correctly
2,21,59,6,37,9,Malfunction,Pulse_Sequence
6,15,173,4,43,6,Malfunction,Magnetic_Field_Strength
2,19,150,1,35,4,Not malfunction,parameters are working correctly
3,21,71,4,29,5,Not malfunction,parameters are working correctly
1,13,109,1,37,4,Not malfunction,parameters are working correctly
1,19,174,2,89,8,Malfunction,Scan_Duration
1,23,126,8,42,7,Malfunction,Pulse_Sequence
1,20,69,4,43,5,Not malfunction,parameters are working correctly
2,27,212,2,30,6,Malfunction,RF_Power
3,10,119,1,39,3,Not malfunction,parameters are working correctly
2,24,113,4,38,1,Not malfunction,parameters are working correctly
2,23,124,7,35,6,Malfunction,Pulse_Sequence
3,25,169,5,16,1,Not malfunction,parameters are working correctly
1,21,170,1,40,2,Not malfunction,parameters are working correctly
2,36,37,2,27,8,Malfunction,Gradient_Strength
2,22,140,7,32,10,Malfunction,Pulse_Sequence
6,26,89,1,32,8,Malfunction,Magnetic_Field_Strength
2,17,191,5,54,5,Not malfunction,parameters are working correctly
2,13,143,4,32,4,Not malfunction,parameters are working correctly
1,29,157,1,47,4,Not malfunction,parameters are working correctly
5,15,147,2,42,6,Malfunction,Magnetic_Field_Strength
1,25,156,2,56,5,Not malfunction,parameters are working correctly
2,28,158,2,73,6,Malfunction,Scan_Duration
3,28,183,3,22,3,Not malfunction,parameters are working correctly
3,14,78,4,45,4,Not malfunction,parameters are working correctly
1,19,103,3,38,1,Not malfunction,parameters are working correctly
2,40,115,2,37,10,Malfunction,Gradient_Strength
2,21,240,2,28,9,Malfunction,RF_Power
1,16,54,1,46,4,Not malfunction,parameters are working correctly
1,17,155,2,26,3,Not malfunction,parameters are working correctly
2,24,50,4,21,4,Not malfunction,parameters are working correctly
2,11,116,1,31,4,Not malfunction,parameters are working correctly
2,19,199,5,36,3,Not malfunction,parameters are working correctly
2,22,218,3,14,10,Malfunction,RF_Power
1,17,81,4,59,2,Not malfunction,parameters are working correctly
6,18,128,2,50,7,Malfunction,Magnetic_Field_Strength
3,23,69,3,47,4,Not malfunction,parameters are working correctly
1,39,182,1,15,10,Malfunction,Gradient_Strength
4,26,166,2,47,9,Malfunction,Magnetic_Field_Strength
2,26,142,7,45,8,Malfunction,Pulse_Sequence
4,11,95,3,43,7,Malfunction,Magnetic_Field_Strength
2,17,224,3,44,7,Malfunction,RF_Power
1,21,119,1,49,4,Not malfunction,parameters are working correctly
2,24,68,2,57,2,Not malfunction,parameters are working correctly
2,23,122,2,78,9,Malfunction,Scan_Duration
2,27,72,5,50,2,Not malfunction,parameters are working correctly
3,15,143,5,57,5,Not malfunction,parameters are working correctly
1,15,195,1,21,2,Not malfunction,parameters are working correctly
2,26,122,5,26,3,Not malfunction,parameters are working correctly
1,21,80,3,26,5,Not malfunction,parameters are working correctly
1,37,117,3,49,10,Malfunction,Gradient_Strength
3,17,96,2,48,2,Not malfunction,parameters are working correctly
1,11,185,4,52,2,Not malfunction,parameters are working correctly
1,22,69,2,49,1,Not malfunction,parameters are working correctly
3,14,195,5,50,5,Not malfunction,parameters are working correctly
1,20,65,1,24,5,Not malfunction,parameters are working correctly
3,20,153,1,43,4,Not malfunction,parameters are working correctly
2,26,184,7,27,9,Malfunction,Pulse_Sequence
5,21,156,1,35,7,Malfunction,Magnetic_Field_Strength
2,20,123,8,40,9,Malfunction,Pulse_Sequence
1,32,229,3,46,6,Malfunction,RF_Power
2,24,224,4,24,8,Malfunction,RF_Power
3,10,114,4,56,5,Not malfunction,parameters are working correctly
1,12,128,5,52,4,Not malfunction,parameters are working correctly
1,16,221,4,27,7,Malfunction,RF_Power
6,22,130,2,22,6,Malfunction,Magnetic_Field_Strength
1,17,39,2,75,10,Malfunction,Scan_Duration
6,26,162,3,46,10,Malfunction,Magnetic_Field_Strength
1,24,125,1,84,8,Malfunction,Scan_Duration
2,25,70,5,41,1,Not malfunction,parameters are working correctly
2,21,159,2,75,10,Malfunction,Scan_Duration
1,23,228,2,37,6,Malfunction,RF_Power
2,12,79,2,81,6,Malfunction,Scan_Duration
4,24,122,3,18,7,Malfunction,Magnetic_Field_Strength
1,18,165,2,70,6,Malfunction,Scan_Duration
1,26,143,4,36,1,Not malfunction,parameters are working correctly
1,14,73,2,38,3,Not malfunction,parameters are working correctly
2,35,82,3,36,6,Malfunction,Gradient_Strength
2,11,113,2,21,2,Not malfunction,parameters are working correctly
2,19,150,7,20,7,Malfunction,Pulse_Sequence
1,17,148,8,60,8,Malfunction,Pulse_Sequence
2,35,142,3,36,10,Malfunction,Gradient_Strength
3,38,218,3,14,7,Malfunction,Gradient_Strength
3,17,130,1,36,2,Not malfunction,parameters are working correctly
1,23,99,5,27,5,Not malfunction,parameters are working correctly
5,22,90,3,62,7,Malfunction,Magnetic_Field_Strength
3,29,171,4,60,3,Not malfunction,parameters are working correctly
1,21,76,1,24,1,Not malfunction,parameters are working correctly
1,20,132,2,38,4,Not malfunction,parameters are working correctly
5,29,93,2,29,6,Malfunction,Magnetic_Field_Strength
2,35,126,2,38,8,Malfunction,Gradient_Strength
1,10,200,5,37,5,Not malfunction,parameters are working correctly
1,11,174,1,21,3,Not malfunction,parameters are working correctly
4,17,137,2,24,9,Malfunction,Magnetic_Field_Strength
4,14,136,4,52,6,Malfunction,Magnetic_Field_Strength
1,18,187,2,45,4,Not malfunction,parameters are working correctly
1,40,90,2,58,8,Malfunction,Gradient_Strength
2,24,131,6,33,8,Malfunction,Pulse_Sequence
3,37,227,4,29,7,Malfunction,Gradient_Strength
2,22,167,1,16,2,Not malfunction,parameters are working correctly
2,17,141,2,83,8,Malfunction,Scan_Duration
5,20,164,3,18,9,Malfunction,Magnetic_Field_Strength
2,21,238,2,35,7,Malfunction,RF_Power
2,40,102,2,41,9,Malfunction,Gradient_Strength
2,21,154,3,52,5,Not malfunction,parameters are working correctly
1,26,170,1,18,5,Not malfunction,parameters are working correctly
2,14,115,8,49,6,Malfunction,Pulse_Sequence
3,19,164,2,31,2,Not malfunction,parameters are working correctly
3,30,112,2,20,3,Not malfunction,parameters are working correctly
1,20,184,8,52,7,Malfunction,Pulse_Sequence
1,35,120,1,34,10,Malfunction,Gradient_Strength
1,23,116,1,29,2,Not malfunction,parameters are working correctly
5,20,156,4,36,7,Malfunction,Magnetic_Field_Strength
1,17,89,5,54,4,Not malfunction,parameters are working correctly
2,23,192,3,78,10,Malfunction,Scan_Duration
3,11,134,1,38,2,Not malfunction,parameters are working correctly
2,15,72,4,41,1,Not malfunction,parameters are working correctly
3,29,156,3,24,3,Not malfunction,parameters are working correctly
1,11,199,3,55,4,Not malfunction,parameters are working correctly
3,18,63,1,35,5,Not malfunction,parameters are working correctly
1,35,148,3,49,9,Malfunction,Gradient_Strength
2,30,183,4,23,2,Not malfunction,parameters are working correctly
2,39,134,4,37,6,Malfunction,Gradient_Strength
3,12,109,2,54,1,Not malfunction,parameters are working correctly
5,16,188,2,70,7,Malfunction,Magnetic_Field_Strength
2,27,177,3,72,9,Malfunction,Scan_Duration
3,28,57,2,29,3,Not malfunction,parameters are working correctly
1,19,130,2,71,8,Malfunction,Scan_Duration
1,39,97,3,29,8,Malfunction,Gradient_Strength
1,18,156,6,32,10,Malfunction,Pulse_Sequence
4,19,194,2,31,7,Malfunction,Magnetic_Field_Strength
1,36,77,4,44,8,Malfunction,Gradient_Strength
4,21,92,4,35,10,Malfunction,Magnetic_Field_Strength
1,25,220,2,19,9,Malfunction,RF_Power
2,20,83,4,39,3,Not malfunction,parameters are working correctly
1,29,134,1,38,1,Not malfunction,parameters are working correctly
1,14,101,1,51,2,Not malfunction,parameters are working correctly
